time,position,velocity,current,voltage
4,0,0,0,0
14,0,0,38,1281
24,3,23.599999999999998,202,3320
34,5,60,551,5618
44,5,60,1230,6899
54,5,60,1861,5679
64,5,96.60000000000001,2104,4983
74,5,96.60000000000001,2440,6474
84,6,27,2817,6973
94,6,27,2778,5538
104,6,27,2324,4577
114,7,12.400000000000002,2421,6222
124,8,10.6,2729,6973
134,9,11.399999999999999,2681,5488
144,9,11.399999999999999,2262,4774
154,11,17.2,2425,6357
164,11,17.2,2750,6911
174,12,13.799999999999999,2621,6523
184,13,16.6,2332,6671
194,14,18.8,2604,6055
204,15,15.8,2581,6012
214,17,23.2,2396,7287
224,17,23.2,2431,7121
234,19,25.200000000000003,2467,6794
244,21,25.6,2365,7263
254,21,25.6,2653,6400
264,23,28,2530,6326
274,25,28.799999999999997,2468,7386
284,26,31.6,2697,6258
294,28,29.199999999999996,2578,5969
304,30,40.4,2385,7232
314,31,39.599999999999994,2647,6844
324,33,31.4,2593,6530
334,35,39,2386,7213
344,37,42.599999999999994,2535,7256
354,39,37,2626,6622
364,41,36.4,2412,6456
374,43,43,2477,7028
384,45,47.8,2535,7256
394,48,45.2,2457,7521
404,50,50,2482,7244
414,53,44.6,2532,7028
424,55,58,2585,7299
434,58,50,2630,7651
444,60,51.599999999999994,2656,7497
454,63,48.599999999999994,2596,7694
464,65,61.199999999999996,2630,7423
474,69,52.39999999999999,2627,7213
484,71,64.80000000000001,2580,7035
494,74,50.2,2538,6437
504,77,61.800000000000004,2444,6887
514,81,70,2407,7657
524,83,58.199999999999996,2474,7484
534,87,61.800000000000004,2437,6924
544,89,58.60000000000001,2381,7207
554,93,75.8,2527,7805
564,96,59.2,2570,6924
574,99,61.39999999999999,2447,6757
584,103,84.8,2420,7521
594,107,61.199999999999996,2526,7663
604,110,77.8,2490,7626
614,113,69,2410,7226
624,117,72.8,2449,7435
634,121,83.2,2494,7842
644,125,70.39999999999999,2476,7694
654,129,82.80000000000001,2500,7607
664,133,74,2483,7392
674,137,80.4,2512,7571
684,141,89.6,2546,7626
694,145,73.60000000000001,2504,7460
704,149,91.39999999999999,2479,8057
714,154,87.6,2511,8093
724,158,81.4,2584,7503
734,163,90.4,2490,7552
744,167,89,2482,7952
754,172,96.4,2558,8093
764,177,90.8,2485,8002
774,181,92.4,2455,7971
784,186,97.19999999999999,2512,8082
794,191,94.39999999999999,2558,7940
804,195,94,2560,7552
814,201,99.8,2508,7429
824,205,103.6,2508,7607
834,211,99,2517,7798
844,216,102.8,2480,7934
854,221,108.20000000000002,2459,8039
864,226,101.39999999999999,2476,8186
874,232,110.79999999999998,2515,8260
884,237,103.80000000000001,2547,7891
894,242,106.80000000000001,2518,7669
904,248,114.4,2489,8230
914,253,109,2549,8026
924,259,113.39999999999999,2515,7620
934,265,120.60000000000001,2427,7842
944,271,109,2445,8057
954,277,119.39999999999999,2490,8217
964,283,115.6,2434,8365
974,289,122.6,2481,8267
984,295,117.4,2513,7866
994,301,124,2482,8063
1004,307,127.4,2509,8482
1014,313,120.8,2512,8193
1024,319,128.2,2446,8093
1034,325,127.6,2444,8334
1044,332,122,2514,8581
1054,339,129.20000000000002,2518,8341
1064,345,125.2,2467,8076
1074,352,143.79999999999998,2486,8451
1084,358,125.79999999999998,2536,8193
1094,365,141.4,2477,8310
1104,371,141.60000000000002,2457,8870
1114,378,135.20000000000002,2529,8353
1124,385,140.39999999999998,2488,8291
1134,392,134.2,2457,8556
1144,399,146,2536,8334
1154,407,141.4,2504,8488
1164,413,148.4,2433,8612
1174,421,143,2513,8568
1184,428,153.60000000000002,2477,8679
1194,435,140,2470,8833
1204,443,156.8,2513,8809
1214,450,145.8,2500,8803
1224,458,159.60000000000002,2517,8852
1234,465,140.6,2529,8679
1244,473,163.8,2525,8827
1254,481,147.60000000000002,2536,8790
1264,489,161.6,2524,8679
1274,496,155.39999999999998,2507,8605
1284,505,162.60000000000002,2464,8821
1294,512,158.6,2514,9049
1304,521,161.2,2479,8920
1314,529,164.6,2483,8895
1324,537,160,2494,9123
1334,545,172.8,2551,8944
1344,553,162.4,2510,8747
1354,561,179.79999999999998,2483,8950
1364,569,158.79999999999998,2502,8981
1374,579,175,2483,9141
1384,587,165.60000000000002,2464,9086
1394,595,166.4,2490,8858
1404,604,181,2478,9043
1414,613,170.2,2477,9166
1424,621,188,2499,9166
1434,630,169.8,2475,9111
1444,639,183.20000000000002,2464,9338
1454,648,174.20000000000002,2504,9375
1464,657,180.4,2500,9345
1474,667,181,2490,9283
1484,675,190.4,2495,9271
1494,685,177,2520,9437
1504,693,180.8,2518,9037
1514,703,184.8,2485,9049
1524,713,182.79999999999998,2488,9511
1534,722,193.4,2519,9412
1544,731,183.4,2497,9283
1554,741,194,2432,9480
1564,751,200,2507,9523
1574,760,191.79999999999998,2508,9437
1584,770,196,2453,9542
1594,780,198,2492,9566
1604,790,200.59999999999997,2503,9597
1614,800,204.2,2492,9634
1624,810,202,2497,9462
1634,820,195.60000000000002,2492,9468
1644,830,201,2477,9677
1654,841,210,2496,9640
1664,851,195.8,2485,9425
1674,861,214.4,2445,9579
1684,871,200,2490,9634
1694,881,212.8,2497,9523
1704,892,199.79999999999998,2470,9757
1714,903,218.39999999999998,2491,9757
1724,913,213.8,2511,9763
1734,924,211,2500,9887
1744,935,209.39999999999998,2497,9868
1754,945,221.2,2534,9690
1764,957,217.79999999999998,2480,9653
1774,967,214.79999999999998,2503,9930
1784,979,214.6,2506,9954
1794,989,230.59999999999997,2504,9696
1804,1001,220.6,2458,9794
1814,1012,213.8,2482,9961
1824,1023,227.8,2506,9924
1834,1034,226.4,2479,9813
1844,1046,233.8,2469,10010
1854,1057,220.4,2528,9911
1864,1069,230.2,2505,9887
1874,1080,225.8,2486,10034
1884,1092,241.20000000000002,2492,9856
1894,1103,231.2,2499,9819
1904,1115,238.6,2450,10232
1914,1127,224.59999999999997,2523,9868
1924,1139,252.8,2460,9782
1934,1151,237,2453,10158
1944,1163,237.40000000000003,2491,9973
1954,1175,240,2497,10059
1964,1187,232.79999999999998,2441,10342
1974,1199,245.59999999999997,2519,10182
1984,1211,244.6,2497,10188
1994,1223,254.39999999999998,2481,10281
2004,1235,240.2,2523,10096
2014,1248,246.8,2474,10275
2024,1261,240.40000000000003,2460,10355
2034,1273,253.20000000000002,2483,10355
2044,1286,254.39999999999998,2480,10416
2054,1299,257,2485,10244
2064,1311,255.60000000000002,2507,10306
2074,1323,247.20000000000002,2492,10460
2084,1337,265.79999999999995,2513,10447
2094,1349,239.39999999999998,2494,10306
2104,1363,265.79999999999995,2479,10460
2114,1375,253.20000000000002,2530,10361
2124,1389,278.2,2489,10262
2134,1401,259.6,2472,10552
2144,1415,263.2,2497,10429
2154,1428,263.2,2492,10256
2164,1441,259.20000000000005,2441,10441
2174,1455,265.20000000000005,2501,10552
2184,1467,268.6,2512,10336
2194,1481,267.8,2462,10564
2204,1495,260.4,2506,10441
2214,1508,277.20000000000005,2523,10632
2224,1522,267.6,2502,10577
2234,1535,281.4,2491,10336
2244,1549,275,2513,10718
2254,1563,272.2,2513,10392
2264,1577,279,2510,10324
2274,1591,295.20000000000005,2442,10749
2284,1605,282.40000000000003,2495,10429
2294,1619,288.8,2494,10583
2304,1633,269.59999999999997,2438,10558
2314,1647,285.40000000000003,2482,10410
2324,1661,289.6,2495,10866
2334,1675,279.8,2480,10700
2344,1690,290.2,2534,10657
2354,1704,280,2487,10743
2364,1719,286.6,2534,10650
2374,1733,283.79999999999995,2537,10848
2384,1748,287,2507,10817
2394,1762,296.4,2539,10669
2404,1777,282.2,2534,10841
2414,1791,299,2536,10743
2424,1807,303.6,2554,10934
2434,1821,290.8,2534,10922
2444,1836,308.2,2543,10681
2454,1851,295.20000000000005,2543,11008
2464,1867,296.8,2533,10971
2474,1881,303.6,2561,10940
2484,1897,290.59999999999997,2517,10928
2494,1911,296.59999999999997,2517,10829
2504,1927,302,2536,11057
2514,1942,295.6,2496,10971
2524,1957,302.8,2516,10934
2534,1973,312,2504,10989
2544,1988,316.4,2504,10712
2554,2004,312.6,2462,10946
2564,2019,312.40000000000003,2444,10989
2574,2035,320,2461,10823
2584,2051,305.2,2446,11112
2594,2067,311.2,2434,10798
2604,2082,319.20000000000005,2455,10934
2614,2098,307.6,2440,11119
2624,2114,319.79999999999995,2463,11020
2634,2130,330.6,2464,11322
2644,2146,311,2449,11125
2654,2162,319.20000000000005,2509,11045
2664,2178,308.8,2502,11248
2674,2194,324.8,2501,10983
2684,2211,329.59999999999997,2468,11057
2694,2227,317.2,2419,11230
2704,2243,332.4,2470,10995
2714,2259,335,2413,11143
2724,2276,329.4,2389,11322
2734,2292,327.2,2479,11273
2744,2309,328.20000000000005,2469,11211
2754,2325,328.6,2457,11236
2764,2343,335.4,2510,11414
2774,2359,337,2503,11328
2784,2376,341,2494,11211
2794,2393,330.2,2482,11402
2804,2409,332.8,2499,11464
2814,2426,330.8,2508,11476
2824,2443,343,2507,11285
2834,2460,346,2494,11322
2844,2478,349.4,2499,11513
2854,2495,324.8,2494,11347
2864,2512,337.79999999999995,2480,11273
2874,2529,336.8,2457,11439
2884,2547,354.8,2501,11525
2894,2564,345.40000000000003,2514,11544
2904,2581,350.59999999999997,2492,11279
2914,2599,358.79999999999995,2489,11365
2924,2617,347,2471,11538
2934,2634,346,2474,11544
2944,2651,347.2,2460,11371
2954,2669,371.59999999999997,2404,11334
2964,2687,358.6,2441,11581
2974,2705,346.4,2454,11451
2984,2723,367.20000000000005,2424,11390
2994,2741,361.79999999999995,2386,11550
3004,2758,362.2,2429,11470
3014,2776,350.2,2431,11433
3024,2795,351.40000000000003,2416,11544
3034,2813,379.79999999999995,2450,11667
3044,2831,369.2,2456,11587
3054,2849,354.40000000000003,2447,11531
3064,2867,369.8,2472,11568
3074,2885,364,2458,11581
3084,2904,363.6,2449,11624
3094,2922,375,2441,11531
3104,2941,375.40000000000003,2427,11562
3114,2959,375,2388,11642
3124,2978,367.4,2411,11618
3134,2997,361,2419,11636
3144,3015,380.8,2390,11611
3154,3034,380.8,2389,11587
3164,3053,386.19999999999993,2417,11636
3174,3071,368.2,2414,11642
3184,3091,386.40000000000003,2371,11587
3194,3109,374.4,2358,11630
3204,3128,369,2382,11636
3214,3147,388,2374,11618
3224,3167,405.80000000000007,2317,11599
3234,3185,383.2,2324,11581
3244,3205,382.6,2327,11618
3254,3225,389.19999999999993,2286,11685
3264,3243,373,2276,11673
3274,3263,386.19999999999993,2299,11618
3284,3282,389.40000000000003,2280,11587
3294,3301,395.40000000000003,2256,11605
3304,3321,394.6,2249,11574
3314,3341,390.80000000000007,2239,11624
3324,3360,389.19999999999993,2202,11667
3334,3379,378.8,2194,11661
3344,3399,402,2213,11642
3354,3419,397.6,2205,11630
3364,3439,401.6,2179,11618
3374,3459,401.19999999999993,2182,11587
3384,3478,390.59999999999997,2191,11605
3394,3498,390.59999999999997,2163,11611
3404,3518,402.2,2151,11618
3414,3539,408,2174,11655
3424,3559,395.8,2163,11747
3434,3579,396.80000000000007,2144,11661
3444,3599,400,2161,11605
3454,3619,404.40000000000003,2153,11624
3464,3639,423.4,2125,11679
3474,3659,395.8,2129,11648
3484,3679,405.2,2122,11624
3494,3700,415.6,2093,11648
3504,3721,395,2095,11673
3514,3741,405,2124,11655
3524,3761,421.79999999999995,2102,11648
3534,3782,411.59999999999997,2073,11636
3544,3803,401.19999999999993,2082,11630
3554,3823,429.80000000000007,2075,11636
3564,3844,419.19999999999993,2034,11655
3574,3864,409.4,2040,11618
3584,3885,431.8,2054,11648
3594,3906,420.80000000000007,2021,11667
3604,3927,400.79999999999995,2003,11599
3614,3948,419.6,2006,11605
3624,3969,423.80000000000007,1980,11648
3634,3979,419.40000000000003,1970,11655
3644,4011,403.79999999999995,1999,11685
3654,4032,432,1994,11673
3664,4053,427.6,1987,11673
3674,4074,409.20000000000005,2006,11636
3684,4095,430.20000000000005,1999,11673
3694,4117,435.80000000000007,1948,11673
3704,4138,431.8,1959,11735
3714,4159,423.2,1972,11765
3724,4181,431.6,1942,11692
3734,4202,422,1946,11655
3744,4223,450,1966,11747
3754,4245,438.4,1958,11821
3764,4267,420.59999999999997,1943,11741
3774,4277,431.40000000000003,1947,11685
3784,4310,426.80000000000007,1926,11636
3794,4331,431,1899,11630
3804,4343,431.6,1897,11648
3814,4364,431.19999999999993,1896,11692
3824,4386,450.80000000000007,1854,11624
3834,4419,424.79999999999995,1831,11581
3844,4440,433.20000000000005,1821,11593
3854,4462,442.4,1786,11587
3864,4484,429.80000000000007,1788,11624
3874,4507,451.4,1793,11704
3884,4529,434.6,1774,11661
3894,4550,427.79999999999995,1787,11636
3904,4573,439,1798,11790
3914,4595,440.8,1792,11735
3924,4617,433.20000000000005,1796,11661
3934,4639,463,1790,11673
3944,4661,439.6,1767,11624
3954,4683,451.6,1762,11587
3964,4705,443.40000000000003,1750,11605
3974,4729,455,1725,11679
3984,4740,451,1722,11685
3994,4761,443.19999999999993,1756,11802
4004,4785,467,1773,11858
4014,4807,443.8,1766,11648
4024,4829,455.19999999999993,1767,11618
4034,4852,463.4,1762,11636
4044,4875,454.20000000000005,1724,11698
4054,4909,454.4,1712,11685
4064,4931,465.2,1677,11636
4074,4954,445,1690,11599
4084,4977,466.79999999999995,1696,11679
4094,5000,457.6,1678,11679
4104,5023,456.59999999999997,1664,11618
4114,5045,460.79999999999995,1670,11624
4124,5068,456.4,1651,11630
4134,5091,465.4,1658,11661
4144,5115,471.2,1656,11685
4154,5137,469.79999999999995,1629,11648
4164,5160,443.6,1644,11655
4174,5183,472.6,1646,11679
4184,5195,473,1642,11673
4194,5219,456.59999999999997,1634,11735
4204,5242,474,1652,11778
4214,5265,467.40000000000003,1654,11679
4224,5288,452.19999999999993,1630,11630
4234,5311,470,1631,11636
4244,5347,464.6,1599,11784
