time,position,velocity,acceleration,current,voltage
2,0,0,0,0,0
12,0,0,0,0,0
22,0,0,0,0,0
32,2,0,0,71,2094
42,4,0.128332,0.0128332,237,4392
52,4,11.3519,1.12235,622,6776
62,4,17.8288,0.64769,1567,7989
72,5,15.9276,-0.19012,1754,8093
82,5,14.8304,-0.109715,2452,7072
92,6,14.1973,-0.0633144,2666,7084
102,6,16.6513,0.245407,2716,7429
112,6,12.4287,-0.42227,2552,6302
122,7,9.99181,-0.243684,2517,6653
132,8,11.405,0.141319,2451,7250
142,8,15.04,0.363498,2477,6985
152,9,17.1377,0.209768,2534,6844
162,10,15.5287,-0.160892,2423,6868
172,10,14.6003,-0.0928477,2507,6332
182,12,14.0645,-0.0535808,2435,6628
192,13,14.6951,0.0630612,2457,7041
202,14,15.059,0.0363915,2442,7127
212,16,18.0884,0.302946,2405,7417
222,16,21.7163,0.362788,2479,6991
232,18,20.9905,-0.0725864,2465,6979
242,20,23.391,0.240057,2480,7460
252,20,23.7211,0.03301,2506,7490
262,22,24.018,0.0296834,2559,7835
272,24,24.2849,0.0266921,2503,7509
282,25,24.5249,0.0240022,2613,6973
292,27,25.4126,0.0887663,2575,7152
302,29,26.2108,0.0798209,2634,6819
312,30,26.9285,0.071777,2528,7096
322,32,28.1285,0.12,2501,7971
332,34,29.1037,0.0975166,2552,7989
342,36,29.8962,0.0792459,2646,6628
352,38,31.7892,0.189305,2414,6123
362,40,33.3276,0.153837,2588,7152
372,42,34.5777,0.125014,2645,7466
382,45,35.5936,0.101591,2576,7226
392,47,37.6683,0.207464,2413,7380
402,50,39.3542,0.168593,2597,7614
412,52,41.9733,0.261912,2672,7398
422,54,42.8527,0.0879341,2508,7293
432,57,43.5673,0.0714588,2530,7189
442,60,44.148,0.0580704,2495,7145
452,62,45.8689,0.172097,2524,7373
462,65,47.2675,0.139853,2487,7546
472,68,48.404,0.11365,2531,7571
482,71,49.3275,0.0923566,2482,7484
492,74,51.3271,0.199959,2519,7263
502,77,52.9521,0.162495,2483,7219
512,80,54.2726,0.13205,2503,7718
522,83,55.3456,0.107309,2483,7823
