time,position,velocity,acceleration,current,voltage
2,0,0,0,0,0
12,0,0,0,0,0
22,1,0,0,32,1306
32,2,3.17224,0.317224,256,4152
42,2,6.39559,0.322335,1166,4109
52,0,8.59641,0.220082,1260,3431
62,3,3.75459,-0.484182,1583,5667
72,3,4.67837,0.0923782,2258,4429
82,2,5.30911,0.0630736,2333,3690
92,4,7.85459,0.254548,1837,5920
102,4,7.47775,-0.0376838,2287,4410
112,4,7.22045,-0.0257296,2144,3782
122,5,9.15961,0.193915,1862,5889
132,6,8.36879,-0.0790822,2442,4324
142,4,9.94366,0.157488,2231,3388
152,7,6.78929,-0.315437,1885,5932
162,7,8.86522,0.207593,2144,4546
172,6,8.16779,-0.0697435,1934,3363
182,10,9.80642,0.163864,1653,5753
192,10,13.0401,0.323365,1774,4349
202,9,15.2479,0.220786,1594,3289
212,12,16.7554,0.150747,1337,5852
222,12,15.6698,-0.108556,1754,4546
232,12,15.2321,-0.0437766,1590,3289
242,15,16.1254,0.0893315,1319,5741
252,16,16.8513,0.0725944,1666,4503
262,15,18.6903,0.183899,1505,3308
272,18,18.9357,0.0245379,1230,5760
282,19,19.1351,0.0199405,1607,4318
292,19,19.2972,0.0162045,1419,3326
302,22,20.6779,0.138075,1256,6141
312,23,21.8,0.112205,1656,4688
322,23,22.7118,0.0911824,1482,3641
332,26,23.4528,0.0740985,1267,5470
342,28,24.0549,0.0602155,1627,4472
352,29,25.7933,0.17384,1566,5051
362,30,28.4551,0.266175,1405,5057
372,32,28.12,-0.0335074,1651,5328
382,34,27.8477,-0.0272295,1781,4983
392,35,28.8755,0.102778,1542,4983
402,38,29.7107,0.0835219,1785,5525
412,40,31.6385,0.19278,1617,5679
422,41,33.2051,0.15666,1778,5070
432,44,34.4782,0.127309,1562,5716
442,45,35.5128,0.103456,1806,4792
452,47,35.1044,-0.0408335,1621,4712
462,50,36.0217,0.0917233,1655,5753
472,52,36.767,0.0745381,1557,6018
482,54,38.6218,0.185479,1693,5298
492,56,40.1291,0.150728,1498,5741
502,58,40.1049,-0.00241878,1762,4737
512,60,40.0853,-0.0019656,1591,4786
