time_us,encoder_value
122, 70
10131, 87
20141, 107
30151, 128
40161, 150
50170, 173
60180, 197
70190, 223
80200, 253
90209, 285
100219, 319
110229, 353
120239, 388
130249, 425
140258, 464
150268, 505
160278, 549
170288, 595
180297, 642
190307, 690
200317, 741
210327, 792
220336, 844
230346, 898
240356, 955
250366, 1015
260375, 1076
270385, 1138
280395, 1200
290405, 1267
300415, 1334
310424, 1402
320434, 1473
330444, 1548
340454, 1624
350463, 1699
360473, 1778
370483, 1857
380493, 1937
390502, 2020
400512, 2106
410522, 2194
420532, 2283
430541, 2375
440551, 2465
450561, 2560
460571, 2656
470581, 2754
480590, 2856
490600, 2957
500610, 3061
510620, 3167
520629, 3273
530639, 3384
540649, 3494
550659, 3608
560668, 3723
570678, 3839
580688, 3956
590698, 4073
600708, 4194
610717, 4317
620727, 4444
630737, 4572
640747, 4703
650756, 4834
660766, 4966
670776, 5098
680786, 5234
690795, 5371
700805, 5511
710815, 5654
720825, 5798
730834, 5943
740844, 6087
750854, 6234
760864, 6385
770874, 6538
780883, 6694
790893, 6851
800903, 7008
810913, 7165
820922, 7324
830932, 7488
840942, 7652
850952, 7819
860961, 7987
870971, 8155
880981, 8325
890991, 8500
901000, 8674
911010, 8851
921020, 9031
931030, 9209
941040, 9391
951049, 9576
961059, 9762
971069, 9949
981079, 10136
991088, 10327
1001098, 10521
1011108, 10716
1021118, 10912
1031127, 11111
1041137, 11313
1051147, 11516
1061157, 11718
1071166, 11923
1081176, 12129
1091186, 12335
1101196, 12547
1111206, 12761
1121215, 12978
1131225, 13193
1141235, 13408
1151245, 13628
1161254, 13851
1171264, 14076
1181274, 14298
1191284, 14523
1201293, 14752
1211303, 14984
1221313, 15216
1231323, 15447
1241333, 15683
1251342, 15921
1261352, 16161
1271362, 16399
1281372, 16640
1291381, 16883
1301391, 17131
1311401, 17376
1321411, 17626
1331420, 17876
1341430, 18128
1351440, 18380
1361450, 18637
1371459, 18894
1381469, 19153
1391479, 19415
1401489, 19681
1411499, 19947
1421508, 20212
1431518, 20476
1441528, 20747
1451538, 21021
1461547, 21297
1471557, 21570
1481567, 21849
1491577, 22130
1501586, 22410
1511596, 22689
1521606, 22974
1531616, 23263
1541625, 23549
1551635, 23838
1561645, 24131
1571655, 24424
1581665, 24716
1591674, 25010
1601684, 25311
1611694, 25609
1621704, 25912
1631713, 26215
1641723, 26519
1651733, 26825
1661743, 27132
1671752, 27441
1681762, 27753
1691772, 28068
1701782, 28385
1711791, 28699
1721801, 29019
1731811, 29341
1741821, 29661
1751831, 29985
1761840, 30315
1771850, 30641
1781860, 30970
1791870, 31304
1801879, 31636
1811889, 31968
1821899, 32306
1831909, 32644
1841918, 32982
1851928, 33325
1861938, 33667
1871948, 34011
1881958, 34357
1891967, 34703
1901977, 35053
1911987, 35405
1921997, 35755
1932006, 36115
1942016, 36472
