time_us,encoder_value
91, 173
10101, 198
20111, 225
30120, 254
40130, 287
50140, 322
60150, 358
70159, 394
80169, 433
90179, 472
100189, 514
110198, 558
120208, 603
130218, 650
140228, 699
150238, 749
160247, 801
170257, 855
180267, 910
190277, 967
200286, 1026
210296, 1089
220306, 1153
230316, 1218
240325, 1286
250335, 1355
260345, 1425
270355, 1497
280364, 1572
290374, 1648
300384, 1725
310394, 1805
320404, 1885
330413, 1968
350433, 2140
360443, 2230
370452, 2321
380462, 2414
390472, 2508
400482, 2605
410491, 2701
420501, 2800
430511, 2902
440521, 3004
450531, 3109
460540, 3216
470550, 3326
480560, 3437
490570, 3549
500579, 3662
510589, 3776
520599, 3893
530609, 4012
540618, 4132
550628, 4257
560638, 4382
570648, 4510
580657, 4639
590667, 4769
600677, 4899
610687, 5034
620697, 5171
630706, 5309
640716, 5450
650726, 5591
660736, 5735
670745, 5877
680755, 6025
690765, 6174
700775, 6326
710784, 6481
720794, 6634
730804, 6790
740814, 6946
750823, 7104
760833, 7267
770843, 7430
780853, 7597
790863, 7764
800872, 7930
810882, 8098
820892, 8271
830902, 8446
840911, 8623
850921, 8801
860931, 8978
870941, 9158
880950, 9342
890960, 9528
900970, 9715
910980, 9901
920989, 10089
930999, 10280
941009, 10474
951019, 10671
961029, 10868
971038, 11066
981048, 11266
991058, 11469
1001068, 11675
1011077, 11881
1021087, 12086
1031097, 12294
1041107, 12507
1051116, 12722
1061126, 12936
1071136, 13152
1081146, 13370
1091156, 13593
1101165, 13815
1111175, 14038
1121185, 14264
1131195, 14489
1141204, 14721
1151214, 14952
1161224, 15183
1171234, 15417
1181243, 15655
1191253, 15895
1201263, 16132
1211273, 16373
1221282, 16620
1231292, 16868
1241302, 17113
1251312, 17362
1261322, 17614
1271331, 17867
1281341, 18120
1291351, 18373
1301361, 18631
1311370, 18892
1321380, 19152
1331390, 19414
1341400, 19680
1351409, 19948
1361419, 20213
1371429, 20480
1381439, 20751
1391448, 21028
1401458, 21299
1411468, 21575
1421478, 21856
1431488, 22135
1441497, 22415
1451507, 22698
1461517, 22983
1471527, 23268
1481536, 23557
1491546, 23851
1501556, 24144
1511566, 24434
1521575, 24732
1531585, 25032
1541595, 25329
1551605, 25628
1561614, 25933
1571624, 26238
1581634, 26540
1591644, 26848
1601654, 27158
1611663, 27465
1621673, 27778
1631683, 28094
1641693, 28409
1651702, 28727
1661712, 29047
1671722, 29365
1681732, 29683
1691741, 30009
1701751, 30336
1711761, 30661
1721771, 30992
1731781, 31325
1741790, 31654
1751800, 31992
1761810, 32331
1771820, 32665
1781829, 33005
1791839, 33349
1801849, 33687
1811859, 34035
1821868, 34382
1831878, 34727
1841888, 35077
1851898, 35429
1861907, 35776
1871917, 36133
1881927, 36490
1891937, 36845
1901947, 37205
1911956, 37563
1921966, 37924
1931976, 38290
1941986, 38653
1951995, 39024
1962005, 39392
1972015, 39764
1982025, 40134
1992034, 40510
2002044, 40882
2012054, 41261
2022064, 41640
2032073, 42018
2042083, 42403
2052093, 42785
2062103, 43170
2072113, 43558
2082122, 43942
2092132, 44334
2102142, 44726
2112152, 45115
2122161, 45513
2132171, 45904
2142181, 46304
2152191, 46704
2162200, 47102
2172210, 47510
2182220, 47908
2192230, 48314
2202239, 48724
2212249, 49130
2222259, 49545
2232269, 49954
2242279, 50367
2252288, 50785
2262298, 51198
2272308, 51619
2282318, 52036
2292327, 52456
2302337, 52879
2312347, 53303
2322357, 53728
2332366, 54153
2342376, 54584
2352386, 55011
2362396, 55444
2372406, 55879
2382415, 56311
2392425, 56750
2402435, 57183
2412445, 57628
2422454, 58068
2432464, 58510
