time_us,encoder_value
122, 131
10131, 158
20141, 188
30151, 220
40161, 254
50170, 289
60180, 327
70190, 367
80200, 409
90209, 457
100219, 505
110229, 557
120239, 611
130249, 666
140258, 722
150268, 781
160278, 843
170288, 908
180297, 975
190307, 1042
200317, 1112
210327, 1184
220336, 1258
230346, 1335
240356, 1416
250366, 1499
260375, 1584
270385, 1672
280395, 1760
290405, 1851
300415, 1944
310424, 2038
320434, 2134
330444, 2233
340454, 2335
350463, 2439
360473, 2545
370483, 2653
380493, 2764
390502, 2876
400512, 2991
410522, 3106
420532, 3224
430541, 3342
440551, 3465
450561, 3588
460571, 3716
470581, 3845
480590, 3976
490600, 4107
500610, 4240
510620, 4374
520629, 4513
530639, 4654
540649, 4797
550659, 4942
560668, 5087
570678, 5232
580688, 5381
590698, 5534
600708, 5687
610717, 5844
620727, 6001
630737, 6158
640747, 6317
650756, 6479
660766, 6644
670776, 6811
680786, 6980
690795, 7148
700805, 7318
710815, 7490
720825, 7667
730834, 7846
740844, 8026
750854, 8204
760864, 8385
770874, 8568
780883, 8755
790893, 8944
800903, 9133
810913, 9322
820922, 9514
830932, 9709
840942, 9908
850952, 10107
870971, 10504
880981, 10707
890991, 10913
901000, 11121
911010, 11326
921020, 11534
931030, 11745
941040, 11959
951049, 12174
961059, 12387
971069, 12603
981079, 12823
991088, 13045
1001098, 13266
1011108, 13487
1021118, 13712
1031127, 13940
1041137, 14170
1051147, 14397
1061157, 14626
1071166, 14859
1081176, 15095
1091186, 15330
1101196, 15564
1111206, 15803
1121215, 16045
1131225, 16287
1141235, 16527
1151245, 16771
1161254, 17018
1171264, 17266
1181274, 17511
1191284, 17761
1201293, 18014
1211303, 18270
1221313, 18522
1231323, 18776
1241333, 19033
1251342, 19293
1261352, 19550
1271362, 19810
1281372, 20075
1291381, 20341
1301391, 20603
1311401, 20868
1321411, 21137
1331420, 21407
1341430, 21674
1351440, 21946
1361450, 22221
1371459, 22496
1381469, 22768
1391479, 23046
1401489, 23326
1411499, 23602
1421508, 23880
1431518, 24164
1441528, 24449
1451538, 24731
1461547, 25016
1471557, 25304
1481567, 25590
1491577, 25876
1501586, 26167
1511596, 26460
1521606, 26751
1531616, 27044
1541625, 27340
1551635, 27634
1561645, 27927
1571655, 28228
1581665, 28528
1591674, 28825
1601684, 29126
1611694, 29430
1621704, 29731
1631713, 30034
1641723, 30342
1651733, 30649
1661743, 30953
1671752, 31261
1681762, 31573
1691772, 31880
1701782, 32191
1711791, 32505
1721801, 32817
1731811, 33129
1741821, 33446
1751831, 33760
1761840, 34074
1771850, 34394
1781860, 34715
1791870, 35031
1801879, 35352
1811889, 35675
1821899, 35993
1831909, 36316
1841918, 36642
1851928, 36965
1861938, 37290
1881958, 37942
1891967, 38269
1901977, 38601
1911987, 38930
1921997, 39259
1932006, 39592
1942016, 39923
1952026, 40252
1962036, 40588
1972045, 40923
1982055, 41255
1992065, 41593
2002075, 41930
2012084, 42262
2022094, 42602
2032104, 42941
2042114, 43277
2052124, 43618
2062133, 43960
2072143, 44297
2082153, 44639
2092163, 44983
2102172, 45322
2112182, 45669
2122192, 46013
2132202, 46354
2142211, 46702
2152221, 47050
2162231, 47393
2172241, 47744
2182250, 48092
2192260, 48436
2202270, 48788
2212280, 49136
2222290, 49484
2232299, 49838
2242309, 50188
2252319, 50538
2262329, 50892
2272338, 51243
2282348, 51596
2292358, 51952
2302368, 52304
2322387, 53015
2332397, 53369
2342407, 53725
2352416, 54085
2362426, 54439
2372436, 54796
2382446, 55158
2392456, 55514
2402465, 55875
2412475, 56237
2422485, 56592
2442504, 57318
2452514, 57677
2462524, 58042
2472534, 58403
2482543, 58765
2492553, 59130
2502563, 59493
2512573, 59856
2522583, 60224
2532592, 60587
2542602, 60952
2552612, 61321
2562622, 61683
2572631, 62052
2582641, 62421
2592651, 62784
2602661, 63157
2612670, 63525
2622680, 63893
2632690, 64266
2642700, 64633
2652709, 65002
2662719, 65376
2672729, 65743
2682739, 66116
2692749, 66489
2702758, 66858
2712768, 67233
2722778, 67604
2732788, 67976
2742797, 68352
2752807, 68724
2762817, 69098
2772827, 69476
2782836, 69847
2792846, 70223
2802856, 70601
2812866, 70973
2822875, 71354
2832885, 71730
2842895, 72106
2852905, 72487
2862915, 72862
2872924, 73239
2882934, 73621
2892944, 73996
2902954, 74378
2912963, 74757
2922973, 75136
2932983, 75518
2942993, 75896
2953002, 76277
2963012, 76660
2973022, 77038
2983032, 77422
2993041, 77804
3003051, 78184
3013061, 78570
3023071, 78950
3033081, 79332
3043090, 79719
3053100, 80100
3063110, 80486
3073120, 80872
3083129, 81254
3093139, 81642
3103149, 82025
3113159, 82410
3123168, 82800
3133178, 83183
3143188, 83571
3153198, 83957
3163208, 84341
3173217, 84730
3183227, 85115
3193237, 85502
3203247, 85894
3213256, 86278
3223266, 86669
3233276, 87056
3243286, 87443
3253295, 87836
3263305, 88223
3273315, 88613
3283325, 89006
3293334, 89392
3303344, 89786
3313354, 90176
3323364, 90566
3333374, 90960
3343383, 91349
3353393, 91743
3363403, 92134
3373413, 92523
3383422, 92918
3393432, 93308
3403442, 93700
3413452, 94097
3423461, 94487
3433471, 94884
3443481, 95275
3453491, 95668
3463500, 96066
3473510, 96456
3483520, 96852
3493530, 97249
3503540, 97641
3513549, 98040
3523559, 98432
3533569, 98827
3543579, 99226
3553588, 99618
3563598, 100018
3573608, 100411
3583618, 100808
3593627, 101207
3603637, 101599
3613647, 101999
3623657, 102395
3633666, 102791
3643676, 103192
3653686, 103586
3663696, 103985
3673706, 104386
3683715, 104779
3693725, 105183
3703735, 105578
3713745, 105978
3723754, 106380
3733764, 106773
3743774, 107177
3753784, 107574
3763793, 107973
3773803, 108375
3783813, 108771
3793823, 109173
3803833, 109572
3813842, 109971
3823852, 110373
3833862, 110772
3843872, 111173
3853881, 111576
3863891, 111973
3883911, 112776
3893920, 113179
3903930, 113584
3913940, 113982
3923950, 114387
3933959, 114787
3943969, 115189
3953979, 115594
3963989, 115993
3973999, 116398
3984008, 116799
3994018, 117201
4004028, 117606
4014038, 118005
4024047, 118410
4034057, 118813
4044067, 119216
4054077, 119622
4064086, 120022
4074096, 120428
4084106, 120831
4094116, 121235
4104125, 121642
4114135, 122043
4124145, 122450
4134155, 122856
4144165, 123258
4154174, 123665
4164184, 124068
4174194, 124473
4184204, 124880
4194213, 125282
4204223, 125689
4214233, 126093
4224243, 126498
4234252, 126907
4244262, 127309
4254272, 127718
4264282, 128122
4274291, 128528
4284301, 128937
4294311, 129340
4304321, 129751
4314331, 130155
4324340, 130562
4334350, 130972
4344360, 131374
4354370, 131784
4364379, 132189
4374389, 132595
4384399, 133005
4394409, 133408
4404418, 133818
4414428, 134224
4424438, 134630
4434448, 135041
4444458, 135445
4454467, 135856
4464477, 136262
4474487, 136670
4484497, 137082
4494506, 137486
4504516, 137898
4514526, 138305
4524536, 138713
4534545, 139125
4544555, 139530
4554565, 139942
4564575, 140349
4574584, 140757
4584594, 141167
4594604, 141573
4604614, 141985
4614624, 142392
4624633, 142801
4634643, 143213
4644653, 143620
4654663, 144032
4664672, 144440
4674682, 144850
4684692, 145263
4694702, 145669
4704711, 146083
4714721, 146492
4724731, 146902
4734741, 147315
4744750, 147722
4754760, 148136
4764770, 148544
4774780, 148954
4784790, 149367
4794799, 149774
4804809, 150187
4814819, 150596
4824829, 151006
4834838, 151420
4844848, 151828
4854858, 152243
4864868, 152652
4874877, 153063
4884887, 153478
4894897, 153886
4904907, 154301
4914916, 154711
4924926, 155122
4934936, 155537
4944946, 155945
4954956, 156360
4964965, 156770
4974975, 157181
4984985, 157595
4994995, 158003
5005004, 158418
5015014, 158828
5025024, 159240
5035034, 159656
5045043, 160064
5055053, 160480
5065063, 160890
5075073, 161303
5085083, 161719
5095092, 162128
5105102, 162545
5115112, 162956
5125122, 163370
5135131, 163786
5145141, 164196
5155151, 164612
5165161, 165023
5175170, 165436
5185180, 165851
5195190, 166262
5205200, 166677
5215209, 167088
5225219, 167502
5235229, 167917
5245239, 168329
5255249, 168746
5265258, 169156
5275268, 169572
5285278, 169987
5295288, 170399
5305297, 170817
5315307, 171227
5325317, 171644
5335327, 172057
5345336, 172471
5355346, 172887
5365356, 173298
5375366, 173714
5385375, 174127
5395385, 174541
5405395, 174958
5415405, 175368
5425415, 175785
5435424, 176198
5445434, 176613
5455444, 177030
5465454, 177441
5475463, 177859
5485473, 178271
5495483, 178686
5505493, 179104
5515502, 179514
5525512, 179933
5535522, 180346
5545532, 180760
5555541, 181177
5565551, 181589
5575561, 182006
5585571, 182418
5595581, 182832
5605590, 183249
5615600, 183661
5625610, 184079
5635620, 184492
5645629, 184907
5655639, 185323
5665649, 185736
5675659, 186155
5685668, 186566
5695678, 186984
5705688, 187400
5715698, 187814
5725708, 188232
5735717, 188645
5745727, 189062
5755737, 189477
5765747, 189891
5775756, 190309
5785766, 190721
5795776, 191138
5805786, 191552
5815795, 191967
5825805, 192385
5835815, 192797
5845825, 193216
5855834, 193629
5865844, 194045
5875854, 194464
5885864, 194875
5895874, 195295
5905883, 195708
5915893, 196125
5925903, 196543
5935913, 196954
5945922, 197374
5955932, 197787
5965942, 198203
5975952, 198619
5985961, 199033
5995971, 199452
6005981, 199865
6015991, 200281
6026000, 200698
6036010, 201113
6046020, 201532
6056030, 201944
6066040, 202363
6076049, 202779
6086059, 203194
6096069, 203613
6106079, 204026
6116088, 204445
6126098, 204860
6136108, 205276
6146118, 205695
6156127, 206107
6166137, 206525
6176147, 206940
6186157, 207355
6196166, 207774
6206176, 208186
6216186, 208605
6226196, 209020
6236206, 209436
6246215, 209855
6256225, 210267
6266235, 210687
6276245, 211101
6286254, 211518
6296264, 211936
6306274, 212350
6316284, 212770
6326293, 213183
6346313, 214018
6356323, 214432
6366333, 214850
6376342, 215264
6386352, 215682
6396362, 216097
6406372, 216512
6416381, 216931
6426391, 217344
6436401, 217763
6446411, 218178
6456420, 218594
6466430, 219014
6476440, 219426
6486450, 219846
6496459, 220261
6506469, 220678
6516479, 221097
6526489, 221511
6536499, 221931
6546508, 222345
6556518, 222761
6566528, 223179
6576538, 223593
6586547, 224012
6596557, 224426
6606567, 224842
6616577, 225260
6626586, 225675
6636596, 226095
6646606, 226508
6656616, 226927
6666625, 227344
6676635, 227759
6686645, 228180
6696655, 228593
6706665, 229013
6716674, 229429
6726684, 229846
6736694, 230265
6746704, 230678
6756713, 231097
6766723, 231512
6776733, 231929
6786743, 232348
6796752, 232761
6806762, 233180
6816772, 233595
6826782, 234013
6836791, 234432
6846801, 234845
6856811, 235265
6866821, 235680
6876831, 236098
6886840, 236517
6896850, 236932
6906860, 237352
6916870, 237767
6926879, 238185
6936889, 238602
6946899, 239018
6956909, 239437
6966918, 239850
6976928, 240269
6986938, 240685
6996948, 241101
7006958, 241520
7016967, 241934
7026977, 242354
7036987, 242769
7046997, 243186
7057006, 243606
7067016, 244018
7077026, 244439
7087036, 244854
7097045, 245272
7107055, 245692
7127075, 246527
7137084, 246942
7147094, 247359
7157104, 247776
7167114, 248192
7177124, 248611
7187133, 249025
7197143, 249442
